Municipio,Viajeros,Residencia,Periodo,Total
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M09,55.119
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M08,61.675
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M07,49.661
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M06,46.552
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M05,46.948
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M04,41.356
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M03,44.040
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M02,34.876
01059 Vitoria-Gasteiz,Pernoctaciones,N,2024M01,35.140
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M12,43.134
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M11,43.914
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M10,49.587
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M09,51.494
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M08,61.908
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M07,44.949
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M06,40.329
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M05,38.601
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M04,40.897
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M03,38.352
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M02,32.075
01059 Vitoria-Gasteiz,Pernoctaciones,N,2023M01,33.052
01059 Vitoria-Gasteiz,Pernoctaciones,N,2022M12,38.040
01059 Vitoria-Gasteiz,Pernoctaciones,N,2022M11,36.451
01059 Vitoria-Gasteiz,Pernoctaciones,N,2022M10,42.943
01059 Vitoria-Gasteiz,Pernoctaciones,N,2022M09,41.399
01059 Vitoria-Gasteiz,Pernoctaciones,N,2022M08,53.082
01059 Vitoria-Gasteiz,Pernoctaciones,N,2022M07,43.786
