CCAA y provincia de origen,CCAA y provincia de origen 2,CCAA y provincia de origen 3,Municipio de destino,Concepto turístico,Periodo,Total
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M08,120.288
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M07,114.093
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M06,107.845
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M05,81.443
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M04,73.248
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M03,81.159
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M02,61.784
Total Nacional,,,03014 Alacant/Alicante,Turistas,2024M01,64.859
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M12,74.678
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M11,63.285
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M10,84.703
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M09,81.432
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M08,129.104
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M07,124.982
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M06,100.559
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M05,88.097
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M04,91.468
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M03,63.182
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M02,54.319
Total Nacional,,,03014 Alacant/Alicante,Turistas,2023M01,63.962
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M12,69.149
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M11,58.979
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M10,69.781
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M09,74.470
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M08,123.379
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M07,117.467
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M06,94.602
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M05,80.810
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M04,83.722
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M03,54.141
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M02,53.434
Total Nacional,,,03014 Alacant/Alicante,Turistas,2022M01,53.713
Total Nacional,,,03031 Benidorm,Turistas,2024M08,153.666
Total Nacional,,,03031 Benidorm,Turistas,2024M07,140.852
Total Nacional,,,03031 Benidorm,Turistas,2024M06,102.970
Total Nacional,,,03031 Benidorm,Turistas,2024M05,80.699
Total Nacional,,,03031 Benidorm,Turistas,2024M04,79.407
Total Nacional,,,03031 Benidorm,Turistas,2024M03,77.587
Total Nacional,,,03031 Benidorm,Turistas,2024M02,62.849
