,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,cloudcover,icon
0,2022-01-01,12.6,1.0,6.1,0.0,0.0,0.0,,82.4,partly-cloudy-day
1,2022-01-02,12.4,2.4,6.5,0.0,0.0,0.0,,67.0,partly-cloudy-day
2,2022-01-03,6.6,0.3,3.6,0.0,0.0,0.0,,88.2,partly-cloudy-day
3,2022-01-04,6.9,1.0,4.5,2.3,100.0,8.33,['rain'],56.5,rain
4,2022-01-05,2.1,-2.4,0.5,4.2,100.0,12.5,"['rain', 'snow']",69.3,snow
5,2022-01-06,2.3,-2.0,0.2,0.0,0.0,0.0,,96.6,cloudy
6,2022-01-07,8.3,-0.6,2.7,0.0,0.0,0.0,,50.0,partly-cloudy-day
7,2022-01-08,5.4,-4.5,1.4,0.0,0.0,0.0,,58.3,partly-cloudy-day
8,2022-01-09,11.3,5.0,8.3,0.0,0.0,0.0,,66.3,partly-cloudy-day
9,2022-01-10,13.6,4.6,9.2,0.0,0.0,0.0,,56.3,partly-cloudy-day
10,2022-01-11,13.6,0.1,5.6,0.0,0.0,0.0,,36.5,partly-cloudy-day
11,2022-01-12,11.4,-2.3,3.0,0.0,0.0,0.0,,27.9,partly-cloudy-day
12,2022-01-13,9.2,-6.2,0.9,0.0,0.0,0.0,,1.8,clear-day
13,2022-01-14,8.0,-4.4,0.5,0.0,0.0,0.0,,1.0,clear-day
14,2022-01-15,6.5,-6.3,-0.9,0.0,0.0,0.0,,4.2,clear-day
15,2022-01-16,8.3,-6.3,0.0,0.0,0.0,0.0,,57.6,partly-cloudy-day
16,2022-01-17,8.7,-3.7,0.8,0.0,0.0,0.0,,29.8,partly-cloudy-day
17,2022-01-18,11.2,-4.9,1.1,0.0,0.0,0.0,,49.9,partly-cloudy-day
18,2022-01-19,13.8,-5.0,2.6,0.0,0.0,0.0,,12.5,clear-day
19,2022-01-20,11.4,-2.6,3.1,0.0,0.0,0.0,,4.8,clear-day
20,2022-01-21,8.3,-5.3,-0.1,0.0,0.0,0.0,,13.6,clear-day
21,2022-01-22,9.3,-7.5,-0.5,0.0,0.0,0.0,,2.5,clear-day
22,2022-01-23,9.5,-4.2,0.8,0.0,0.0,0.0,,0.0,clear-day
23,2022-01-24,8.5,-4.5,1.2,0.0,0.0,0.0,,0.8,clear-day
24,2022-01-25,8.5,-5.1,1.3,0.0,0.0,0.0,,6.5,clear-day
25,2022-01-26,10.5,-1.0,3.3,0.0,0.0,0.0,,13.3,clear-day
26,2022-01-27,13.1,0.0,5.7,0.0,0.0,0.0,,0.2,clear-day
27,2022-01-28,14.5,-3.4,5.0,0.0,0.0,0.0,,0.0,clear-day
28,2022-01-29,14.5,-2.5,5.5,0.0,0.0,0.0,,21.4,partly-cloudy-day
29,2022-01-30,16.5,-1.5,6.5,0.0,0.0,0.0,,5.2,clear-day
30,2022-01-31,14.0,-3.3,4.9,0.0,0.0,0.0,,5.1,clear-day
31,2022-02-01,13.4,0.5,5.9,0.0,0.0,0.0,,17.2,clear-day
32,2022-02-02,17.5,-1.6,6.2,0.0,0.0,0.0,,22.1,partly-cloudy-day
33,2022-02-03,13.1,-0.5,5.3,0.0,0.0,0.0,,92.2,cloudy
34,2022-02-04,10.1,-3.2,3.4,0.0,0.0,0.0,['rain'],77.4,partly-cloudy-day
35,2022-02-05,10.5,-2.7,4.0,0.0,0.0,0.0,,40.9,partly-cloudy-day
36,2022-02-06,11.0,-7.7,1.0,0.0,0.0,0.0,,53.6,partly-cloudy-day
37,2022-02-07,12.5,-5.2,2.3,0.0,0.0,0.0,,22.0,partly-cloudy-day
38,2022-02-08,13.9,-4.4,3.2,0.0,0.0,0.0,,3.5,clear-day
39,2022-02-09,14.5,-2.3,5.2,0.0,0.0,0.0,,0.0,clear-day
40,2022-02-10,14.3,-1.6,5.9,0.0,0.0,0.0,,45.4,partly-cloudy-day
41,2022-02-11,10.2,4.3,7.4,0.6,100.0,8.33,['rain'],72.6,rain
42,2022-02-12,12.5,-0.1,6.1,0.2,100.0,4.17,['rain'],57.2,rain
43,2022-02-13,6.0,-1.9,2.7,2.5,100.0,12.5,['rain'],75.0,rain
44,2022-02-14,7.4,0.4,3.4,0.0,0.0,0.0,['rain'],38.4,partly-cloudy-day
45,2022-02-15,7.4,-1.5,3.1,0.0,0.0,0.0,,59.1,partly-cloudy-day
46,2022-02-16,12.5,4.4,8.0,0.0,0.0,0.0,,60.0,partly-cloudy-day
47,2022-02-17,11.6,-0.5,5.3,0.0,0.0,0.0,,50.9,partly-cloudy-day
48,2022-02-18,13.4,1.5,6.7,0.0,0.0,0.0,,68.6,partly-cloudy-day
49,2022-02-19,10.6,-2.0,4.6,0.0,0.0,0.0,,41.2,partly-cloudy-day
50,2022-02-20,13.0,-2.9,4.8,0.0,0.0,0.0,,58.8,partly-cloudy-day
51,2022-02-21,15.6,1.2,7.7,0.0,0.0,0.0,,27.5,partly-cloudy-day
52,2022-02-22,17.4,-4.0,6.5,0.0,0.0,0.0,,0.3,clear-day
53,2022-02-23,15.2,-3.0,6.4,0.0,0.0,0.0,,63.7,partly-cloudy-day
54,2022-02-24,14.3,-1.2,5.4,0.0,0.0,0.0,,85.6,partly-cloudy-day
55,2022-02-25,11.7,-2.4,3.4,0.0,0.0,0.0,,91.2,cloudy
56,2022-02-26,10.3,-5.0,3.3,0.0,0.0,0.0,,76.2,partly-cloudy-day
57,2022-02-27,13.5,1.0,6.9,0.0,0.0,0.0,['rain'],63.6,partly-cloudy-day
58,2022-02-28,15.5,-0.1,7.6,0.0,0.0,0.0,,51.7,partly-cloudy-day
59,2022-03-01,11.1,3.2,8.0,3.3,100.0,8.33,['rain'],83.0,rain
60,2022-03-02,12.2,4.2,7.1,0.3,100.0,4.17,['rain'],75.2,rain
61,2022-03-03,7.1,3.2,5.5,11.1,100.0,16.67,['rain'],70.9,rain
62,2022-03-04,8.6,-0.9,3.6,0.0,0.0,0.0,,30.0,partly-cloudy-day
63,2022-03-05,7.7,-6.2,1.0,0.0,0.0,0.0,,56.1,partly-cloudy-day
64,2022-03-06,6.5,-3.9,2.0,0.0,0.0,0.0,['snow'],54.8,partly-cloudy-day
65,2022-03-07,8.1,-2.1,3.5,0.1,100.0,4.17,['rain'],69.0,rain
66,2022-03-08,9.7,0.9,4.5,3.5,100.0,16.67,"['rain', 'snow']",80.8,snow
67,2022-03-09,8.2,-0.4,4.6,2.5,100.0,20.83,['rain'],89.9,rain
68,2022-03-10,10.3,0.1,5.9,2.8,100.0,25.0,['rain'],80.8,rain
69,2022-03-11,10.3,3.1,5.9,14.0,100.0,20.83,['rain'],67.1,rain
70,2022-03-12,7.0,-1.0,3.3,1.0,100.0,4.17,['rain'],67.3,rain
71,2022-03-13,9.1,0.8,4.9,3.0,100.0,4.17,['rain'],57.3,rain
72,2022-03-14,8.4,2.2,5.4,9.2,100.0,12.5,['rain'],74.9,rain
73,2022-03-15,16.3,7.1,11.3,0.4,100.0,4.17,['rain'],89.8,rain
74,2022-03-16,11.5,8.0,9.9,0.0,0.0,0.0,,87.0,partly-cloudy-day
75,2022-03-17,9.0,4.7,7.1,0.0,0.0,0.0,,77.1,partly-cloudy-day
76,2022-03-18,11.6,3.0,6.9,0.0,0.0,0.0,,78.3,partly-cloudy-day
77,2022-03-19,12.8,5.1,8.4,0.0,0.0,0.0,,73.8,partly-cloudy-day
78,2022-03-20,12.2,6.0,8.7,0.0,0.0,0.0,['rain'],67.5,partly-cloudy-day
79,2022-03-21,11.8,6.5,8.9,1.7,100.0,8.33,['rain'],91.1,rain
80,2022-03-22,12.4,6.0,8.3,8.1,100.0,25.0,['rain'],95.0,rain
