,0
0,13594.748
1,13720.91
2,13830.851
3,13513.523
4,13367.926
5,13634.758
6,13865.128
7,13843.425
8,14164.774
9,13273.592
10,14065.392
11,14927.08
12,14881.545
13,15036.777
14,17130.627
15,17138.912
16,17516.81
17,17413.934
18,17423.666
19,17840.416
20,18191.64
21,18562.387
22,18253.275
23,19114.312
24,18346.42
25,18249.352
26,18675.143
27,19106.908
28,12317.282
29,12303.284
30,12103.958
31,11997.494
32,11789.627
33,12109.355
34,12052.763
35,12524.3125
36,12896.127
37,12385.988
38,13330.285
39,14305.583
40,14133.743
41,14332.602
42,16093.981
43,15915.758
44,16355.8545
45,16435.154
46,16187.362
47,16455.934
48,16585.355
49,17508.97
50,17009.836
51,17637.047
52,17680.85
53,18161.049
54,17875.746
55,18194.367
56,14407.853
57,14662.764
58,14840.6
59,15329.955
60,15624.88
61,16053.238
62,15969.476
63,16786.229
64,16497.53
65,16648.857
66,16874.982
67,16616.096
68,17170.05
69,17713.023
70,25830.314
71,24944.098
72,26117.205
73,22085.268
74,22327.244
75,21281.066
76,22113.92
77,22203.562
78,19836.307
79,16512.287
80,18729.607
81,20103.102
82,18241.729
83,20378.094
84,17055.22
85,16638.123
86,17313.666
87,17730.59
88,17682.69
89,17726.516
90,18439.12
91,19416.123
92,18656.443
93,20085.762
94,19447.719
95,19592.037
96,19803.697
97,19803.621
98,15418.989
99,15537.604
100,15843.132
101,15285.8
102,15078.978
103,15388.759
104,15702.714
105,15481.716
106,15778.695
107,15288.917
108,15586.074
109,16201.173
110,16065.111
111,16273.996
112,15049.075
113,15028.029
114,15383.508
115,16145.693
116,16322.082
117,16806.78
118,15974.376
119,16493.143
120,16807.521
121,16109.81
122,16564.16
123,16371.626
124,16743.275
125,17455.568
126,17222.166
127,17196.824
128,17824.273
129,17669.16
130,17788.467
131,18450.045
132,17928.62
133,18352.205
134,18192.248
135,18411.785
136,18169.08
137,18351.338
138,18348.113
139,18886.668
140,15067.398
141,15148.476
142,15378.99
143,15672.517
144,15773.28
145,16278.0625
146,15935.876
147,16410.035
148,16425.71
149,16081.656
150,16418.062
151,16515.117
152,16629.281
153,17244.078
154,14303.384
155,14569.679
156,14760.35
157,15556.925
158,15779.793
159,16376.696
160,15721.526
161,16620.682
162,16535.254
163,16359.766
164,16810.598
165,16519.994
166,17031.855
167,17500.068
