ds,y,diasemana,findesemana
2024-01-09,11258.12,1,0
2024-01-10,10233.522,2,0
2024-01-11,9734.784,3,0
2024-01-12,9325.786,4,0
2024-01-13,9733.701000000001,5,1
2024-01-14,8859.712,6,1
2024-01-15,4452.9039999999995,0,0
2024-01-16,3626.707,1,0
2024-01-17,3576.475,2,0
2024-01-18,3641.035,3,0
2024-01-19,3606.192,4,0
2024-01-20,5159.414,5,1
2024-01-21,6632.6939999999995,6,1
2024-01-22,3416.792,0,0
2024-01-23,3278.857,1,0
2024-01-24,3502.125,2,0
2024-01-25,3481.218,3,0
2024-01-26,3757.146,4,0
2024-01-27,5754.681,5,1
2024-01-28,7160.813,6,1
2024-01-29,3609.534,0,0
2024-01-30,3645.734,1,0
2024-01-31,3742.382,2,0
2024-02-01,3878.556,3,0
2024-02-02,4574.763,4,0
2024-02-03,8346.826,5,1
2024-02-04,10228.363,6,1
2024-02-05,3863.677,0,0
2024-02-06,3322.086,1,0
2024-02-07,3237.039,2,0
2024-02-08,3506.397,3,0
2024-02-09,3756.017,4,0
2024-02-10,6632.595,5,1
2024-02-11,7926.424,6,1
2024-02-12,3352.588,0,0
2024-02-13,3370.868,1,0
2024-02-14,3431.442,2,0
2024-02-15,3342.656,3,0
2024-02-16,3626.051,4,0
2024-02-17,6865.509,5,1
2024-02-18,8627.889,6,1
2024-02-19,5390.409,0,0
2024-02-20,4726.314,1,0
2024-02-21,3974.004,2,0
2024-02-22,3931.489,3,0
2024-02-23,4362.468,4,0
2024-02-24,7207.865,5,1
2024-02-25,8443.897,6,1
2024-02-26,4047.2309999999998,0,0
2024-02-27,3621.843,1,0
2024-02-28,3736.474,2,0
2024-02-29,3932.145,3,0
2024-03-01,4597.741,4,0
2024-03-02,7785.952,5,1
2024-03-03,9431.969,6,1
2024-03-04,4076.186,0,0
2024-03-05,3569.679,1,0
2024-03-06,3642.647,2,0
2024-03-07,4062.131,3,0
2024-03-08,4746.934,4,0
2024-03-09,7474.849,5,1
2024-03-10,8749.198,6,1
2024-03-11,3936.326,0,0
2024-03-12,3728.771,1,0
2024-03-13,3839.184,2,0
2024-03-14,3674.868,3,0
2024-03-15,4277.51,4,0
2024-03-16,7697.821,5,1
2024-03-17,10476.752,6,1
2024-03-18,3937.446,0,0
2024-03-19,3608.755,1,0
2024-03-20,3809.316,2,0
2024-03-21,3888.715,3,0
2024-03-22,4279.094,4,0
2024-03-23,7668.996,5,1
2024-03-24,9172.524,6,1
2024-03-25,4093.752,0,0
2024-03-26,4012.621,1,0
2024-03-27,3966.13,2,0
2024-03-28,4113.469,3,0
2024-03-29,5058.589,4,0
2024-03-30,8692.719,5,1
2024-03-31,11903.842,6,1
2024-04-01,9950.81,0,0
2024-04-02,11046.695,1,0
2024-04-03,11964.142,2,0
2024-04-04,16322.483,3,0
2024-04-05,24927.846,4,0
2024-04-06,22925.197,5,1
2024-04-07,19448.352,6,1
2024-04-08,9403.326,0,0
2024-04-09,5313.533,1,0
2024-04-10,4189.174,2,0
2024-04-11,3900.521,3,0
2024-04-12,4193.59,4,0
2024-04-13,6280.145,5,1
2024-04-14,7573.035,6,1
2024-04-15,3041.399,0,0
2024-04-16,2774.786,1,0
2024-04-17,2766.377,2,0
2024-04-19,3178.582,4,0
2024-04-20,3428.183,5,1
2024-04-21,6865.606,6,1
2024-04-22,8242.44,0,0
2024-04-23,3322.912,1,0
2024-04-24,3306.348,2,0
2024-04-25,3202.044,3,0
2024-04-26,3649.936,4,0
2024-04-27,7279.015,5,1
2024-04-28,9115.106,6,1
2024-04-29,4091.108,0,0
2024-04-30,3666.083,1,0
2024-05-01,2991.094,2,0
2024-05-02,3315.247,3,0
2024-05-03,3454.656,4,0
2024-05-04,6705.397,5,1
2024-05-05,8192.307,6,1
2024-05-06,3962.367,0,0
2024-05-07,3845.359,1,0
2024-05-08,5336.177,2,0
2024-05-09,6795.683,3,0
2024-05-10,7284.786,4,0
2024-05-11,9139.684,5,1
2024-05-12,9298.826,6,1
2024-05-13,3911.166,0,0
2024-05-14,3463.352,1,0
2024-05-15,3656.615,2,0
2024-05-16,3716.381,3,0
2024-05-17,3875.733,4,0
2024-05-18,6454.31,5,1
2024-05-19,7812.142,6,1
2024-05-20,3877.69,0,0
2024-05-21,3606.765,1,0
2024-05-22,3657.225,2,0
2024-05-23,3616.163,3,0
2024-05-24,4115.897,4,0
2024-05-25,8724.312,5,1
2024-05-26,9576.942000000001,6,1
2024-05-27,4258.17,0,0
2024-05-28,3727.142,1,0
2024-05-29,3589.018,2,0
2024-05-30,3671.588,3,0
2024-05-31,4220.258,4,0
2024-06-01,7285.575,5,1
2024-06-02,8926.122,6,1
2024-06-03,3824.064,0,0
2024-06-04,3797.2019999999998,1,0
2024-06-05,3752.159,2,0
2024-06-06,4289.71,3,0
2024-06-07,4866.782,4,0
2024-06-08,7301.223,5,1
2024-06-09,8289.392,6,1
2024-06-10,3981.017,0,0
2024-06-11,3913.44,1,0
2024-06-12,3820.605,2,0
2024-06-13,4135.263,3,0
2024-06-14,4253.464,4,0
2024-06-15,7195.881,5,1
2024-06-16,8435.338,6,1
2024-06-17,4200.358,0,0
2024-06-18,4038.177,1,0
2024-06-19,4264.564,2,0
2024-06-20,4298.386,3,0
2024-06-21,4769.354,4,0
2024-06-22,8409.624,5,1
2024-06-23,11879.836,6,1
2024-06-24,4633.215,0,0
2024-06-25,4380.311,1,0
2024-06-26,4611.727,2,0
2024-06-27,4657.276,3,0
2024-06-28,5392.06,4,0
2024-06-29,10848.561,5,1
2024-06-30,12425.298,6,1
