,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Constitution Day,Constitution Day_lower,Constitution Day_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Immaculate Conception,Immaculate Conception_lower,Immaculate Conception_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,claro,claro_lower,claro_upper,cubierto,cubierto_lower,cubierto_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,findesemana,findesemana_lower,findesemana_upper,holidays,holidays_lower,holidays_upper,navidad,navidad_lower,navidad_upper,precipitacion,precipitacion_lower,precipitacion_upper,semanasanta,semanasanta_lower,semanasanta_upper,temp,temp_lower,temp_upper,verano,verano_lower,verano_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
731,2024-01-09,18923.362313591973,4115.1147043708,10555.073130283967,18923.362313591973,18923.362313591973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11816.58404080867,-11816.58404080867,-11816.58404080867,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,-991.8097776783433,-991.8097776783433,-991.8097776783433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1181.5734879146833,-1181.5734879146833,-1181.5734879146833,0.0,0.0,0.0,-1073.7688469299642,-1073.7688469299642,-1073.7688469299642,-9751.00541620036,-9751.00541620036,-9751.00541620036,0.0,0.0,0.0,7106.778272783304
732,2024-01-10,18921.619119687595,3054.870415999822,9586.567533276695,18921.619119687595,18921.619119687595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12532.082092066918,-12532.082092066918,-12532.082092066918,0.0,0.0,0.0,0.0,0.0,0.0,-1446.5965947776403,-1446.5965947776403,-1446.5965947776403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,-1264.6034681019803,-1264.6034681019803,-1264.6034681019803,0.0,0.0,0.0,-1291.2143749454558,-1291.2143749454558,-1291.2143749454558,-9794.271122343822,-9794.271122343822,-9794.271122343822,0.0,0.0,0.0,6389.537027620678
733,2024-01-11,18919.875925783217,3179.4717874021653,9660.831057489671,18919.875925783217,18919.875925783217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12573.26541381451,-12573.26541381451,-12573.26541381451,0.0,0.0,0.0,0.0,0.0,0.0,-1463.2025908150997,-1463.2025908150997,-1463.2025908150997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,-1281.2094641394397,-1281.2094641394397,-1281.2094641394397,0.0,0.0,0.0,-1266.293719933768,-1266.293719933768,-1266.293719933768,-9843.76910306564,-9843.76910306564,-9843.76910306564,0.0,0.0,0.0,6346.610511968707
734,2024-01-12,18918.132731878843,4038.913786839771,10142.087625134243,18918.132731878843,18918.132731878843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11705.610444605058,-11705.610444605058,-11705.610444605058,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,-1373.7476865399103,-1373.7476865399103,-1373.7476865399103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1563.5113967762504,-1563.5113967762504,-1563.5113967762504,0.0,0.0,0.0,-432.45760711624536,-432.45760711624536,-432.45760711624536,-9899.405150948902,-9899.405150948902,-9899.405150948902,0.0,0.0,0.0,7212.522287273785
735,2024-01-13,18916.389537974464,6665.467520356312,13180.829063714038,18916.389537974464,18916.732637854904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8932.082001982668,-8932.082001982668,-8932.082001982668,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,-5.978297020310386,-5.978297020310386,-5.978297020310386,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1563.5113967762504,-1563.5113967762504,-1563.5113967762504,0.0,0.0,0.0,1034.6162581360088,1034.6162581360088,1034.6162581360088,-9960.719963098367,-9960.719963098367,-9960.719963098367,0.0,0.0,0.0,9984.307535991797
736,2024-01-14,18914.646344070086,9838.902974734227,16345.287692992266,18914.4764436216,18915.452806730675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5839.576989712218,-5839.576989712218,-5839.576989712218,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,674.8675405155271,674.8675405155271,674.8675405155271,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-882.6655592404129,-882.6655592404129,-882.6655592404129,0.0,0.0,0.0,3512.4637394092733,3512.4637394092733,3512.4637394092733,-10026.908269637019,-10026.908269637019,-10026.908269637019,0.0,0.0,0.0,13075.069354357867
737,2024-01-15,18912.90315016571,5139.103398191011,11510.33656190075,18912.26145670752,18914.491607663756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10509.219130003074,-10509.219130003074,-10509.219130003074,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,70.97396871906128,70.97396871906128,70.97396871906128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.78974151727873,-118.78974151727873,-118.78974151727873,0.0,0.0,0.0,-483.34544862274316,-483.34544862274316,-483.34544862274316,-10096.847650099391,-10096.847650099391,-10096.847650099391,0.0,0.0,0.0,8403.684020162635
738,2024-01-16,18911.15995626133,4405.745742833908,10669.74437232901,18910.068338711575,18913.607178215967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11238.354876621048,-11238.354876621048,-11238.354876621048,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,4.549984569223723,4.549984569223723,4.549984569223723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.21372566711628,-185.21372566711628,-185.21372566711628,0.0,0.0,0.0,-1073.76884693109,-1073.76884693109,-1073.76884693109,-10169.13601425918,-10169.13601425918,-10169.13601425918,0.0,0.0,0.0,7672.805079640282
739,2024-01-17,18909.416762356952,3823.6873563409767,9929.919964167431,18907.201776163736,18912.734601989487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11966.981715625683,-11966.981715625683,-11966.981715625683,0.0,0.0,0.0,0.0,0.0,0.0,-433.6308364926138,-433.6308364926138,-433.6308364926138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,-251.63770981695382,-251.63770981695382,-251.63770981695382,0.0,0.0,0.0,-1291.2143749491024,-1291.2143749491024,-1291.2143749491024,-10242.136504183967,-10242.136504183967,-10242.136504183967,0.0,0.0,0.0,6942.435046731269
740,2024-01-18,18907.673568452574,3897.9586592269907,10188.010279310343,18904.478908692094,18912.09004088036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11874.680058819646,-11874.680058819646,-11874.680058819646,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,-294.35794410504644,-294.35794410504644,-294.35794410504644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-484.1216543413865,-484.1216543413865,-484.1216543413865,0.0,0.0,0.0,-1266.2937199353742,-1266.2937199353742,-1266.2937199353742,-10314.028394779223,-10314.028394779223,-10314.028394779223,0.0,0.0,0.0,7032.993509632928
