,pred
730,12678.88588418994
731,16047.578733182929
732,14733.99019418365
733,13421.009068719253
734,12603.2848265206
735,15291.264216996922
736,4463.56137071404
737,2607.291884778457
738,2377.908750060738
739,2218.471892202935
740,1219.4747641056717
741,1969.4270079960363
742,5070.208443428093
743,6189.7427770318445
744,4032.231120837775
745,4590.877870182593
746,5640.373025327955
747,3597.505879954543
748,1318.0535746257874
749,3931.604014003037
750,7070.121076714218
751,5047.18709132251
752,4392.180571630535
753,3558.36097079278
754,3382.4909953930314
755,3177.9621465473965
756,6181.377117524678
757,7421.434666715543
758,5399.730808667618
759,3534.625849855578
760,3385.6039947878367
761,3632.604895412538
762,4279.957170363789
763,6822.07792221218
764,7395.00419609263
765,2935.3509705304396
766,3334.753835606504
767,4011.466578633729
768,6360.401034726735
769,5482.294257881767
770,7219.961365216506
771,7611.045789957278
772,5080.591396218287
773,4207.066581845536
774,4819.476572094997
775,6184.840733722846
776,4052.896269840687
777,6985.76944738673
778,8022.300804071489
779,4479.806523884946
780,3197.4033329247177
781,3817.1395184146127
782,4638.416258898495
783,2567.6683545284573
784,6321.765347009771
785,8071.7797806952485
786,3088.170681067014
787,3559.275979176275
788,3365.0895176818813
789,2872.986334283961
790,3659.0964707893904
791,6647.918800280095
792,6039.067092742919
793,3299.454087401472
794,3619.1858688848324
795,2915.053792716557
796,4615.619421051902
797,4077.9866644884987
798,7648.205261537927
799,7359.563493001178
800,4486.038803180516
801,4232.502809747357
802,3754.24763087984
803,4030.899428017563
804,5059.396866734237
805,8270.382902705966
806,9122.121591626672
807,5316.282804052694
808,4745.724792409744
809,4561.512856844501
810,4310.007170530267
811,14602.788018991067
812,17791.887705663667
813,17645.359300975528
814,14583.945026308003
815,14716.434893002059
816,16070.076229821469
817,16996.92123971609
818,15927.816115875896
819,19450.44096985887
820,18237.612057831426
821,5129.115513966512
822,5920.059803181046
823,6496.416604200839
824,8543.763534508762
825,9033.56706959745
826,11647.937245101282
827,9224.259866893797
828,6267.011536005907
829,3236.4903061652954
830,3186.104164933091
831,3181.19005719121
832,7817.381907210816
833,7966.869440682858
834,4141.278658931138
835,4695.4617332773705
836,3773.6607741699327
837,3417.965410020817
838,3341.115431945998
839,6955.000431879182
840,6886.229665856663
841,3334.8084178836066
842,4558.795190006795
843,3270.639163885237
844,3262.709186205094
845,3859.585335722891
846,7342.655535087099
847,7311.273374344194
848,3996.107503218075
849,4427.9791310768305
850,3966.8663922509304
851,13178.750415397884
852,3896.3888011339063
853,7813.018780701363
854,10062.071377090917
855,5690.944800588435
856,4035.171280233473
857,5133.807876865424
858,3674.160021700249
859,6276.717647927176
860,9438.186336518553
861,9150.802885569736
862,5080.218018230135
863,4697.897418436568
864,4792.447125640249
865,3531.0375875311584
866,5316.405659613423
867,8541.3176877295
868,8399.916148988466
869,4465.929042594439
